visita_id,preso_id,preso_documento,preso_nombres,preso_apellidos,preso_fecha_nacimiento,preso_delito,preso_estado,preso_celda,preso_patio,preso_fecha_ingreso,visitante_nombre,visitante_documento,visita_fecha,visita_hora,visita_estado,visita_motivo_denegacion,guardia_id,guardia_documento,guardia_nombres,guardia_apellidos,guardia_rango,guardia_turno,guardia_patio,guardia_zona,guardia_estado,hubo_incidente,incidente_id,incidente_tipo,incidente_descripcion,incidente_fecha,incidente_hora,incidente_estado
632,28,366992705,Ivan,Moreno Buitrago,1980-02-15,Hurto calificado,SINDICADO,B032,Patio 4,2021-05-26,Jose Rodriguez,206948323,2023-09-14,15:45:00,APROBADA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
633,14,197613238,Cesar,Lopez Ramirez,1966-11-09,Concierto para delinquir,ACTIVO,E015,Patio 4,2020-05-10,Wilson Castillo,263999734,2024-05-25,18:00:00,APROBADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
634,78,280162221,Paola,Munar Acosta,1992-03-22,Homicidio,CONDENADO,B002,Patio 3,2020-08-09,Ruben Ospina,951188873,2024-09-30,09:00:00,DENEGADA,Cupo maximo alcanzado,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
635,120,441639230,Dario,Parra Soto,2000-12-21,Fabricacion de explosivos,ACTIVO,E010,Patio 2,2022-10-11,Esperanza Cruz,969174243,2023-10-28,18:45:00,FINALIZADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
636,139,196961971,Gloria,Garcia Medina,1984-01-26,Homicidio,SINDICADO,E013,Patio 3,2022-02-19,David Gutierrez,583307859,2023-01-19,20:00:00,FINALIZADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
637,81,954942461,Xiomara,Gonzalez Reyes,1983-11-24,Lavado de activos,CONDENADO,A018,Patio 5,2021-11-29,Jose Mendoza,868501922,2024-03-29,15:00:00,APROBADA,,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,SI,125,Motin,El guardia reportó el ingreso de dinero no declarado,2024-03-29,12:15:00,RESUELTO
638,100,357553274,Oscar,Montoya Martinez,1967-01-08,Trafico de estupefacientes,SINDICADO,E017,Patio 5,2022-08-20,Wilson Buitrago,714406057,2023-04-23,17:45:00,DENEGADA,Cupo maximo alcanzado,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
639,121,139749508,Jose,Cardenas Cano,1974-11-22,Fraude procesal,ACTIVO,C033,Patio 1,2022-12-13,Juan Chavez,382813918,2024-07-29,21:15:00,CANCELADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
640,127,562446417,Rafael,Herrera Salcedo,1978-06-26,Estafa,CONDENADO,B007,Patio 2,2020-12-24,Luis Cano,148445575,2024-01-22,17:30:00,PERMITIDA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
641,33,153839920,Natalia,Parra Cardenas,1998-04-01,Abuso sexual,ACTIVO,D011,Patio 1,2021-01-15,Patricia Sanchez,559720620,2023-12-24,20:00:00,DENEGADA,Horario no disponible,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
642,89,428786222,Hernan,Cano Ortiz,1981-03-24,Abuso sexual,SINDICADO,C029,Patio 5,2021-11-08,Fabian Herrera,795873638,2024-02-26,13:00:00,DENEGADA,Visitante en lista de restriccion,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
643,80,735760237,Edison,Lozano Herrera,1964-07-27,Terrorismo,CONDENADO,E016,Patio 5,2020-09-04,Hernan Ruiz,709938401,2023-03-28,19:00:00,PERMITIDA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,SI,126,Posesion de objetos prohibidos,El interno agredió al visitante durante el tiempo de visita,2023-03-28,16:30:00,PENDIENTE
644,132,717199615,Felipe,Rios Guerrero,1960-12-25,Fraude procesal,CONDENADO,B031,Patio 1,2020-04-10,Sandra Gutierrez,712412455,2023-10-01,08:45:00,RECHAZADA,Documentos incompletos,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
645,100,357553274,Oscar,Montoya Martinez,1967-01-08,Trafico de estupefacientes,SINDICADO,E017,Patio 5,2022-08-20,Nelson Cruz,633361273,2024-08-09,09:45:00,APROBADA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
646,129,595155950,Hector,Medina Diaz,1971-06-15,Concierto para delinquir,ACTIVO,C040,Patio 3,2020-11-19,Ivan Ospina,782303013,2023-06-20,17:30:00,PERMITIDA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
647,20,1042755630,Xiomara,Perez Perez,1992-10-30,Violencia intrafamiliar,CONDENADO,E035,Patio 5,2020-09-14,Andres Soto,1006438760,2023-08-08,12:30:00,APROBADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,SI,127,Incendio provocado,Se reportó daño al mobiliario del área de visitas,2023-08-08,20:15:00,RESUELTO
648,149,1021706559,Rafael,Torres Buitrago,1971-03-30,Fabricacion de explosivos,ACTIVO,E010,Patio 1,2020-09-26,Beatriz Parra,558601461,2024-08-29,13:30:00,APROBADA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
649,54,175133802,Hernan,Cruz Bedoya,1974-01-30,Concierto para delinquir,CONDENADO,E025,Patio 3,2022-11-04,Mario Ruiz,812381203,2023-03-20,18:30:00,CANCELADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
650,139,196961971,Gloria,Garcia Medina,1984-01-26,Homicidio,SINDICADO,E013,Patio 3,2022-02-19,Carolina Vega,919739832,2023-07-24,14:45:00,PERMITIDA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
651,141,1082748549,Viviana,Romero Pineda,1962-11-01,Concierto para delinquir,CONDENADO,E020,Patio 3,2022-04-16,Nelson Vega,984664477,2023-01-20,18:15:00,RECHAZADA,Preso en aislamiento,6,642831335,Paola,Ruiz Sanchez,OFICIAL,MANANA,Patio 5,Zona Sur,ACTIVO,NO,,,,,,
652,120,441639230,Dario,Parra Soto,2000-12-21,Fabricacion de explosivos,ACTIVO,E010,Patio 2,2022-10-11,Beatriz Moreno,491136945,2024-10-15,16:45:00,RECHAZADA,Documentos incompletos,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
653,119,588922557,Sandra,Moreno Rios,1970-09-17,Estafa,ACTIVO,E039,Patio 4,2020-03-30,Pedro Lozano,318568778,2023-09-04,10:30:00,FINALIZADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
654,106,198061499,Edwin,Mora Zapata,1986-05-03,Trafico de estupefacientes,LIBERADO,E013,Patio 3,2020-03-23,Fabian Chavez,356069631,2023-10-21,18:15:00,PERMITIDA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
655,30,1094678970,Cesar,Herrera Vargas,1978-03-25,Violencia intrafamiliar,SINDICADO,C023,Patio 1,2020-12-03,Yaneth Ruiz,553139585,2023-07-16,08:15:00,PERMITIDA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
656,10,596348124,Patricia,Aguilar Lozano,1990-11-13,Abuso sexual,ACTIVO,C004,Patio 1,2021-04-14,Jorge Bravo,621668838,2023-06-13,12:15:00,APROBADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,SI,128,Huelga de hambre,Se reportó posesión de arma artesanal durante la requisa,2023-06-13,16:15:00,RESUELTO
657,6,1090307112,Patricia,Perez Montoya,1973-02-24,Fraude procesal,CONDENADO,C013,Patio 5,2021-01-28,Liliana Ortiz,821202394,2023-03-27,13:30:00,APROBADA,,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
658,24,731832764,Edwin,Garcia Martinez,1991-10-02,Concierto para delinquir,ACTIVO,A018,Patio 1,2021-11-07,David Salcedo,813197718,2023-05-24,11:00:00,RECHAZADA,Cupo maximo alcanzado,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,NO,,,,,,
659,149,1021706559,Rafael,Torres Buitrago,1971-03-30,Fabricacion de explosivos,ACTIVO,E010,Patio 1,2020-09-26,Ruben Castillo,453568052,2023-09-15,15:00:00,APROBADA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
660,150,115956152,Diana,Herrera Cano,1974-07-10,Trafico de estupefacientes,ACTIVO,A014,Patio 2,2022-05-12,Natalia Lopez,626518516,2023-08-30,14:15:00,APROBADA,,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,SI,129,Agresion a guardia,Se presentó un altercado entre internos del mismo patio,2023-08-30,15:45:00,EN_PROCESO
661,137,638798023,Camilo,Vargas Medina,2000-12-31,Fraude procesal,TRASLADADO,B036,Patio 3,2020-08-23,Monica Parra,833084825,2024-12-17,09:30:00,CANCELADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
662,64,960514523,Carolina,Vega Salcedo,1985-01-26,Estafa,ACTIVO,E034,Patio 4,2022-10-30,Claudia Mendoza,122628256,2023-05-29,13:45:00,PENDIENTE,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
663,9,853573823,Wilson,Pineda Martinez,1987-04-29,Concierto para delinquir,ACTIVO,E027,Patio 2,2020-11-30,Mario Lozano,852281566,2024-12-08,20:15:00,PERMITIDA,,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
664,93,487493096,Oscar,Mendoza Garcia,1991-10-05,Abuso sexual,ACTIVO,A012,Patio 1,2021-08-21,Gloria Medina,423076194,2024-07-01,21:15:00,FINALIZADA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
665,24,731832764,Edwin,Garcia Martinez,1991-10-02,Concierto para delinquir,ACTIVO,A018,Patio 1,2021-11-07,Ruben Pineda,536249294,2023-11-01,11:15:00,FINALIZADA,,8,435569630,Hernan,Medina Ortiz,CABO,NOCHE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
666,9,853573823,Wilson,Pineda Martinez,1987-04-29,Concierto para delinquir,ACTIVO,E027,Patio 2,2020-11-30,Maria Soto,553512034,2023-03-24,21:45:00,FINALIZADA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
667,26,360916298,Luz,Ramos Moreno,1964-03-25,Homicidio,CONDENADO,C011,Patio 4,2022-04-21,Jhon Montoya,892191168,2024-12-16,12:00:00,PERMITIDA,,6,642831335,Paola,Ruiz Sanchez,OFICIAL,MANANA,Patio 5,Zona Sur,ACTIVO,NO,,,,,,
668,84,567694547,Jhon,Cano Aguilar,1974-06-16,Fraude procesal,ACTIVO,A023,Patio 3,2022-07-12,Hector Alvarez,949350526,2024-12-12,08:00:00,DENEGADA,Visitante en lista de restriccion,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
669,35,765055833,Andres,Ramos Vega,1986-03-07,Estafa,SINDICADO,B027,Patio 2,2021-10-05,David Vargas,368009789,2024-02-15,11:30:00,PERMITIDA,,1,664880035,David,Acosta Martinez,TENIENTE,TARDE,Patio 3,Zona Central,ACTIVO,NO,,,,,,
670,133,1077767507,Paola,Acosta Ospina,1997-05-11,Falsedad documental,TRASLADADO,E039,Patio 2,2021-12-22,Dario Torres,379902891,2024-08-31,18:45:00,PERMITIDA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
671,45,1065212976,Diana,Jimenez Mora,1971-03-12,Concierto para delinquir,ACTIVO,E040,Patio 5,2022-04-12,Xiomara Romero,122263644,2023-12-02,20:30:00,APROBADA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,SI,130,Dano a instalaciones,Se detectó intento de introducción de sustancias prohibidas,2023-12-02,14:45:00,CANCELADO
672,6,1090307112,Patricia,Perez Montoya,1973-02-24,Fraude procesal,CONDENADO,C013,Patio 5,2021-01-28,Ivan Medina,852973431,2024-10-24,17:15:00,APROBADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
673,44,996139578,Claudia,Cano Montoya,1966-08-23,Lavado de activos,ACTIVO,B039,Patio 3,2020-03-22,Rafael Perez,495051256,2024-02-15,17:45:00,RECHAZADA,Horario no disponible,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
674,44,996139578,Claudia,Cano Montoya,1966-08-23,Lavado de activos,ACTIVO,B039,Patio 3,2020-03-22,Martha Ramirez,341037805,2023-05-01,08:45:00,FINALIZADA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
675,53,101815992,Beatriz,Buitrago Mora,1992-04-09,Terrorismo,CONDENADO,B011,Patio 3,2022-06-02,Ivan Ramos,293670676,2023-09-30,12:45:00,FINALIZADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,SI,131,Agresion a guardia,Se encontraron documentos falsos en poder del visitante,2023-09-30,11:30:00,RESUELTO
676,105,570040006,Andres,Munar Gonzalez,1999-11-24,Lavado de activos,CONDENADO,D035,Patio 3,2020-02-22,Fabian Ortiz,725887408,2023-01-30,12:30:00,APROBADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
677,118,1029066493,Rafael,Alvarez Buitrago,1981-09-22,Porte ilegal de armas,ACTIVO,E036,Patio 5,2022-02-11,Gloria Mora,327866978,2023-01-11,15:15:00,PERMITIDA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
678,99,754586204,Dario,Sanchez Molina,1969-04-27,Concierto para delinquir,ACTIVO,E010,Patio 1,2020-11-17,Juan Cruz,1099723009,2024-09-03,12:00:00,APROBADA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
679,61,545002643,Hector,Zapata Moreno,1992-03-22,Terrorismo,ACTIVO,C023,Patio 2,2020-10-29,Jose Montoya,144157616,2023-12-29,17:00:00,APROBADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,SI,132,Incendio provocado,Se reportó daño al mobiliario del área de visitas,2023-12-29,12:45:00,RESUELTO
680,149,1021706559,Rafael,Torres Buitrago,1971-03-30,Fabricacion de explosivos,ACTIVO,E010,Patio 1,2020-09-26,Jose Perez,440716951,2023-09-24,10:45:00,PERMITIDA,,6,642831335,Paola,Ruiz Sanchez,OFICIAL,MANANA,Patio 5,Zona Sur,ACTIVO,NO,,,,,,
681,136,196779973,Felipe,Castillo Acosta,1978-08-21,Hurto calificado,ACTIVO,D019,Patio 3,2022-12-23,Monica Guerrero,1069366248,2023-05-26,12:00:00,PERMITIDA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,SI,133,Posesion de objetos prohibidos,Se detectó comunicación no autorizada entre preso y visitante,2023-05-26,21:30:00,RESUELTO
682,68,168965204,Liliana,Ramos Cruz,1984-05-04,Violencia intrafamiliar,SINDICADO,B013,Patio 4,2022-03-08,Sandra Acosta,627502276,2023-09-28,16:30:00,FINALIZADA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
683,39,108399996,Hernan,Montoya Mendoza,1989-10-03,Homicidio,TRASLADADO,A035,Patio 3,2020-08-24,Henry Soto,601580067,2024-11-04,18:45:00,APROBADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,SI,134,Rina entre internos,El interno amenazó al personal de guardia durante la visita,2024-11-04,10:00:00,RESUELTO
684,112,916033628,Juan,Jimenez Aguilar,1984-08-20,Hurto calificado,TRASLADADO,C033,Patio 4,2020-09-05,Yaneth Ospina,591515743,2024-05-21,08:45:00,PERMITIDA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
685,127,562446417,Rafael,Herrera Salcedo,1978-06-26,Estafa,CONDENADO,B007,Patio 2,2020-12-24,Camilo Zapata,1056590709,2023-06-01,09:30:00,APROBADA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,SI,135,Huelga de hambre,Se detectó intento de introducción de sustancias prohibidas,2023-06-01,21:15:00,RESUELTO
686,150,115956152,Diana,Herrera Cano,1974-07-10,Trafico de estupefacientes,ACTIVO,A014,Patio 2,2022-05-12,Fabian Fuentes,634842369,2024-08-20,08:15:00,FINALIZADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
687,25,176082500,Olga,Herrera Aguilar,1990-01-03,Violencia intrafamiliar,ACTIVO,A034,Patio 5,2022-08-26,Miguel Castillo,265115158,2023-01-27,12:00:00,FINALIZADA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
688,8,508157429,Camilo,Diaz Lozano,1997-06-01,Porte ilegal de armas,ACTIVO,C011,Patio 2,2021-06-30,Camilo Munar,806528895,2024-04-16,21:45:00,FINALIZADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
689,2,734036506,Monica,Gonzalez Rodriguez,1964-03-15,Extorsion,ACTIVO,D035,Patio 1,2021-02-11,Jhon Zapata,238856506,2023-02-14,18:45:00,PERMITIDA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
690,55,432091877,Hernan,Ramos Castillo,1978-01-18,Terrorismo,ACTIVO,A033,Patio 2,2022-05-11,Yaneth Munar,509515396,2024-10-21,12:30:00,APROBADA,,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
691,24,731832764,Edwin,Garcia Martinez,1991-10-02,Concierto para delinquir,ACTIVO,A018,Patio 1,2021-11-07,Cesar Pineda,265500839,2023-09-19,10:15:00,FINALIZADA,,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,SI,136,Agresion a guardia,Se detectó intento de introducción de sustancias prohibidas,2023-09-19,14:45:00,EN_PROCESO
692,31,506919288,Carlos,Gutierrez Medina,1995-03-04,Fabricacion de explosivos,SINDICADO,C029,Patio 5,2022-09-23,Mario Mora,748017800,2024-05-17,20:45:00,PENDIENTE,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
693,34,173574218,Paola,Martinez Mora,1998-08-29,Extorsion,SINDICADO,D026,Patio 2,2020-03-22,Ivan Ospina,578290147,2024-11-12,09:30:00,CANCELADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
694,100,357553274,Oscar,Montoya Martinez,1967-01-08,Trafico de estupefacientes,SINDICADO,E017,Patio 5,2022-08-20,Claudia Bedoya,300098048,2023-10-02,17:45:00,APROBADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
695,112,916033628,Juan,Jimenez Aguilar,1984-08-20,Hurto calificado,TRASLADADO,C033,Patio 4,2020-09-05,Jairo Mora,866260270,2023-04-06,08:30:00,FINALIZADA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
696,40,1055321749,Miguel,Acosta Montoya,1966-12-21,Secuestro,ACTIVO,B014,Patio 3,2021-02-20,Andres Parra,422544807,2024-06-23,18:00:00,PERMITIDA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
697,39,108399996,Hernan,Montoya Mendoza,1989-10-03,Homicidio,TRASLADADO,A035,Patio 3,2020-08-24,Monica Guerrero,710460550,2024-12-01,12:15:00,CANCELADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
698,13,902099969,Natalia,Ruiz Cano,1977-11-30,Porte ilegal de armas,ACTIVO,A036,Patio 5,2022-10-07,Monica Ramos,201451808,2023-03-20,08:00:00,CANCELADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
699,119,588922557,Sandra,Moreno Rios,1970-09-17,Estafa,ACTIVO,E039,Patio 4,2020-03-30,Ruben Cardenas,117468377,2023-09-17,13:30:00,RECHAZADA,Documentos incompletos,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
700,30,1094678970,Cesar,Herrera Vargas,1978-03-25,Violencia intrafamiliar,SINDICADO,C023,Patio 1,2020-12-03,Carolina Molina,819686053,2023-07-03,20:15:00,FINALIZADA,,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,SI,137,Trafico interno de sustancias,El preso protagonizó un acto de automutilación durante la visita,2023-07-03,12:30:00,RESUELTO
701,116,1089848389,Paola,Cardenas Acosta,1999-06-11,Hurto calificado,TRASLADADO,B031,Patio 4,2021-11-27,Luis Garcia,524056989,2023-09-29,13:15:00,APROBADA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,SI,138,Introduccion de elementos prohibidos,Se encontraron documentos falsos en poder del visitante,2023-09-29,12:00:00,RESUELTO
702,30,1094678970,Cesar,Herrera Vargas,1978-03-25,Violencia intrafamiliar,SINDICADO,C023,Patio 1,2020-12-03,Hernan Acosta,746271713,2023-06-25,18:45:00,FINALIZADA,,1,664880035,David,Acosta Martinez,TENIENTE,TARDE,Patio 3,Zona Central,ACTIVO,NO,,,,,,
703,125,777703980,Wilson,Guerrero Romero,1993-07-01,Homicidio,SINDICADO,A026,Patio 1,2022-06-27,Wilson Rios,824885563,2024-09-25,21:30:00,PENDIENTE,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
704,102,1092041933,Rodrigo,Lozano Cano,1989-08-28,Fabricacion de explosivos,TRASLADADO,C029,Patio 1,2021-04-05,Jairo Flores,797652827,2023-03-31,10:15:00,APROBADA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,SI,139,Rina entre internos,El preso protagonizó un acto de automutilación durante la visita,2023-03-31,11:00:00,EN_PROCESO
705,62,804436922,Edison,Garcia Molina,1998-08-06,Fabricacion de explosivos,TRASLADADO,E040,Patio 4,2021-03-24,Carolina Flores,608941911,2024-10-03,21:15:00,APROBADA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
706,109,454123990,Liliana,Rios Ospina,1972-12-05,Concierto para delinquir,TRASLADADO,E035,Patio 5,2020-03-16,Edison Alvarez,620815076,2023-04-30,10:15:00,PENDIENTE,,1,664880035,David,Acosta Martinez,TENIENTE,TARDE,Patio 3,Zona Central,ACTIVO,NO,,,,,,
707,121,139749508,Jose,Cardenas Cano,1974-11-22,Fraude procesal,ACTIVO,C033,Patio 1,2022-12-13,Ferney Ruiz,546339338,2024-04-05,17:15:00,APROBADA,,1,664880035,David,Acosta Martinez,TENIENTE,TARDE,Patio 3,Zona Central,ACTIVO,SI,140,Trafico interno de sustancias,Se encontró material prohibido en el registro de la visita,2024-04-05,13:00:00,PENDIENTE
708,127,562446417,Rafael,Herrera Salcedo,1978-06-26,Estafa,CONDENADO,B007,Patio 2,2020-12-24,Martha Cardenas,734623587,2024-09-02,19:30:00,APROBADA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
709,125,777703980,Wilson,Guerrero Romero,1993-07-01,Homicidio,SINDICADO,A026,Patio 1,2022-06-27,Yaneth Martinez,387600528,2023-03-04,16:00:00,FINALIZADA,,8,435569630,Hernan,Medina Ortiz,CABO,NOCHE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
710,107,919382051,Cesar,Castro Parra,1983-04-12,Concierto para delinquir,SINDICADO,B032,Patio 2,2022-06-11,Luis Vargas,409249220,2023-04-30,15:30:00,FINALIZADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
711,50,930353157,Camilo,Reyes Pineda,1982-11-07,Lavado de activos,CONDENADO,D018,Patio 3,2020-02-26,Edwin Cano,1076106644,2023-12-19,15:15:00,CANCELADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
712,87,654724287,Ivan,Perez Herrera,1992-04-19,Lavado de activos,SINDICADO,E035,Patio 2,2022-09-02,Patricia Ramos,994513638,2024-11-03,15:15:00,PERMITIDA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
713,93,487493096,Oscar,Mendoza Garcia,1991-10-05,Abuso sexual,ACTIVO,A012,Patio 1,2021-08-21,Andres Vega,618498938,2023-06-15,17:15:00,PERMITIDA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
